State,District,Market,Commodity,Variety,Grade,Min Price,Max Price,Modal Price
Kerala,Alappuzha,Harippad,Amaranthus,Other,FAQ,4000.0,4500.0,4000.0
Kerala,Alappuzha,Harippad,Amphophalus,Other,FAQ,5000.0,5500.0,5000.0
Kerala,Alappuzha,Harippad,Ashgourd,Other,FAQ,3000.0,3500.0,3000.0
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,Medium,5000.0,5500.0,5000.0
Kerala,Alappuzha,Harippad,Banana - Green,Other,FAQ,3000.0,3500.0,3000.0
Kerala,Alappuzha,Harippad,Beetroot,Other,FAQ,4000.0,4500.0,4000.0
Kerala,Alappuzha,Harippad,Bhindi(Ladies Finger),Other,FAQ,4000.0,4500.0,4000.0
Kerala,Alappuzha,Harippad,Bitter gourd,Other,FAQ,5000.0,5500.0,5000.0
Kerala,Alappuzha,Harippad,Bottle gourd,Other,FAQ,2000.0,2500.0,2000.0
Kerala,Alappuzha,Harippad,Brinjal,Other,FAQ,3000.0,3500.0,3000.0
Kerala,Alappuzha,Harippad,Cabbage,Other,FAQ,3000.0,3500.0,3000.0
Kerala,Alappuzha,Harippad,Capsicum,Other,FAQ,9000.0,9500.0,9000.0
Kerala,Alappuzha,Harippad,Carrot,Other,FAQ,6000.0,6500.0,6000.0
Kerala,Alappuzha,Harippad,Cauliflower,Other,FAQ,4000.0,4500.0,4000.0
Kerala,Alappuzha,Harippad,Colacasia,Other,FAQ,6000.0,6400.0,6000.0
Kerala,Alappuzha,Harippad,Cowpea(Veg),Other,FAQ,4000.0,4500.0,4000.0
Kerala,Alappuzha,Harippad,Cucumbar(Kheera),Other,FAQ,2000.0,2500.0,2000.0
Kerala,Alappuzha,Harippad,Drumstick,Other,FAQ,5000.0,5500.0,5000.0
Andhra Pradesh,Chittor,Palamaner,Green Chilli,Green Chilly,FAQ,8000.0,10000.0,9000.0
Andhra Pradesh,Cuddapah,Cuddapah,Groundnut,Local,FAQ,6269.0,7416.0,7036.0
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Bulb,FAQ,4888.0,9745.0,8650.0
Andhra Pradesh,Cuddapah,Cuddapah,Turmeric,Finger,FAQ,5748.0,10025.0,9665.0
Andhra Pradesh,East Godavari,Karapa,Paddy(Dhan)(Common),1001,FAQ,2040.0,2060.0,2050.0
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Paddy,FAQ,2040.0,2040.0,2040.0
Andhra Pradesh,East Godavari,Rajahmundry,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,2060.0,2060.0,2060.0
Andhra Pradesh,East Godavari,Sampara,Paddy(Dhan)(Common),Swarna Masuri (New),FAQ,2000.0,2080.0,2040.0
Andhra Pradesh,Guntur,Tenali,Black Gram (Urd Beans)(Whole),Black Gram (Whole),FAQ,8100.0,8300.0,8200.0
Andhra Pradesh,Guntur,Tenali,Lemon,Lemon,FAQ,1500.0,3500.0,2500.0
Andhra Pradesh,Kurnool,Alur,Jowar(Sorghum),Jowar ( White),FAQ,3030.0,3090.0,3060.0
Andhra Pradesh,Kurnool,Atmakur,Maize,Hybrid/Local,FAQ,1962.0,1962.0,1962.0
Andhra Pradesh,Kurnool,Atmakur,Paddy(Dhan)(Common),Sona Mahsuri,FAQ,2040.0,2040.0,2040.0
Andhra Pradesh,Kurnool,Nandikotkur,Bengal Gram(Gram)(Whole),Gulabi,FAQ,5335.0,5335.0,5335.0
Andhra Pradesh,Kurnool,Nandikotkur,Maize,Hybrid,FAQ,1962.0,1962.0,1962.0
Andhra Pradesh,Kurnool,Nandikotkur,Paddy(Dhan)(Common),Sona,FAQ,2040.0,2040.0,2040.0
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 2,FAQ,3850.0,3850.0,3850.0
Andhra Pradesh,Visakhapatnam,Anakapally,Gur(Jaggery),NO 3,FAQ,3750.0,3750.0,3750.0
Bihar,Kishanganj,Bahadurganj,Apple,American,Medium,9000.0,9500.0,9400.0
Bihar,Kishanganj,Bahadurganj,Banana,Amruthapani,Medium,2400.0,2600.0,2500.0
Bihar,Kishanganj,Bahadurganj,Bhindi(Ladies Finger),Bhindi,FAQ,2000.0,2200.0,2100.0
Bihar,Kishanganj,Bahadurganj,Brinjal,Arkasheela Mattigulla,FAQ,2800.0,3000.0,2900.0
Bihar,Kishanganj,Bahadurganj,Green Chilli,Green Chilly,FAQ,4000.0,4500.0,4300.0
Bihar,Kishanganj,Bahadurganj,Onion,1st Sort,FAQ,1800.0,2000.0,1900.0
Bihar,Kishanganj,Bahadurganj,Pointed gourd (Parval),Other,FAQ,2200.0,2400.0,2300.0
Karnataka,Bangalore,Channapatana,Banana,Elakki Bale,FAQ,4000.0,6500.0,5700.0
Karnataka,Bangalore,Channapatana,Bhindi(Ladies Finger),Bhindi,FAQ,2300.0,2600.0,2500.0
Karnataka,Bangalore,Channapatana,Brinjal,Brinjal,FAQ,1800.0,2200.0,2000.0
Karnataka,Bangalore,Channapatana,Cucumbar(Kheera),Cucumbar,FAQ,200.0,400.0,300.0
Karnataka,Bangalore,Channapatana,Green Chilli,Green Chilly,FAQ,7000.0,8000.0,7500.0
Karnataka,Bangalore,Channapatana,Tomato,Tomato,FAQ,6500.0,10500.0,8500.0
Karnataka,Bangalore,Ramanagara,Alsandikai,Alsandikai,FAQ,2800.0,3200.0,3000.0
Karnataka,Bangalore,Ramanagara,Beans,Beans (Whole),FAQ,2400.0,3600.0,3000.0
Karnataka,Bangalore,Ramanagara,Beetroot,Beetroot,FAQ,2000.0,2400.0,2200.0
Karnataka,Bangalore,Ramanagara,Bhindi(Ladies Finger),Bhindi,FAQ,2000.0,3000.0,2800.0
Karnataka,Bangalore,Ramanagara,Bitter gourd,Bitter Gourd,FAQ,2800.0,3500.0,3200.0
Karnataka,Bangalore,Ramanagara,Brinjal,Brinjal,FAQ,2800.0,4000.0,3500.0
Karnataka,Bangalore,Ramanagara,Cabbage,Cabbage,FAQ,1200.0,1600.0,1400.0
Karnataka,Bangalore,Ramanagara,Capsicum,Capsicum,FAQ,7000.0,9000.0,8200.0
Karnataka,Bangalore,Ramanagara,Carrot,Carrot,FAQ,4000.0,6000.0,5000.0
Karnataka,Bangalore,Ramanagara,Cucumbar(Kheera),Cucumbar,FAQ,200.0,400.0,300.0
Karnataka,Bangalore,Ramanagara,Drumstick,Drumstick,FAQ,2800.0,3200.0,3000.0
Karnataka,Bangalore,Ramanagara,Ginger(Green),Green Ginger,FAQ,14000.0,18000.0,16000.0
Karnataka,Bangalore,Ramanagara,Green Avare (W),Green Avare (W),FAQ,2800.0,3200.0,3000.0
Karnataka,Bangalore,Ramanagara,Green Chilli,Green Chilly,FAQ,6000.0,8500.0,7000.0
Karnataka,Bangalore,Ramanagara,Knool Khol,Knool Khol,FAQ,1800.0,2400.0,2000.0
Karnataka,Bangalore,Ramanagara,Raddish,Raddish,FAQ,1000.0,1600.0,1400.0
Karnataka,Bangalore,Ramanagara,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,1600.0,2400.0,2000.0
Karnataka,Bangalore,Ramanagara,Seemebadnekai,Seemebadanekai,FAQ,1600.0,2000.0,1800.0
Karnataka,Bangalore,Ramanagara,Snakeguard,Snakeguard,FAQ,1200.0,1600.0,1400.0
Karnataka,Bangalore,Ramanagara,Tomato,Tomato,FAQ,900.0,11000.0,10000.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Beans,Beans (Whole),FAQ,1800.0,2200.0,2000.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Beetroot,Beetroot,FAQ,1500.0,2500.0,2000.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Brinjal,Other,FAQ,500.0,800.0,650.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Brinjal,Round/Long,FAQ,500.0,900.0,700.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Cabbage,Cabbage,FAQ,600.0,1200.0,900.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Carrot,Carrot,FAQ,2500.0,3000.0,2700.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Cucumbar(Kheera),Cucumbar,FAQ,400.0,500.0,450.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Green Chilli,Green Chilly,FAQ,4600.0,6000.0,5200.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Knool Khol,Knool Khol,FAQ,2500.0,3000.0,2700.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Raddish,Raddish,FAQ,1300.0,1800.0,1600.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Ridgeguard(Tori),Ridgeguard(Tori),FAQ,1600.0,2500.0,2100.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Tomato,Tomato,FAQ,3000.0,8000.0,7000.0
Karnataka,Chamrajnagar,Gundlupet,Beans,Beans (Whole),FAQ,4200.0,4200.0,4200.0
Karnataka,Chamrajnagar,Gundlupet,Green Chilli,Green Chilly,FAQ,5700.0,5700.0,5700.0
Karnataka,Chamrajnagar,Gundlupet,Tomato,Tomato,FAQ,8500.0,8520.0,8500.0
Karnataka,Chikmagalur,Bagepalli,Beans,Beans (Whole),FAQ,1800.0,2200.0,2000.0
Karnataka,Chikmagalur,Bagepalli,Beetroot,Beetroot,FAQ,1800.0,2200.0,2000.0
Karnataka,Chikmagalur,Bagepalli,Bhindi(Ladies Finger),Bhindi,FAQ,1400.0,1600.0,1500.0
Karnataka,Chikmagalur,Bagepalli,Brinjal,Round,FAQ,900.0,1000.0,950.0
Karnataka,Chikmagalur,Bagepalli,Cabbage,Cabbage,FAQ,800.0,1100.0,1000.0
Karnataka,Chikmagalur,Bagepalli,Capsicum,Capsicum,FAQ,1800.0,2000.0,1900.0
Karnataka,Chikmagalur,Bagepalli,Carrot,Carrot,FAQ,1000.0,1500.0,1300.0
Karnataka,Chikmagalur,Bagepalli,Cauliflower,Cauliflower,FAQ,1000.0,2000.0,1600.0
Karnataka,Chikmagalur,Bagepalli,Chilly Capsicum,Chilly Capsicum,FAQ,1700.0,2000.0,1850.0
Karnataka,Chikmagalur,Bagepalli,Cucumbar(Kheera),Cucumbar,FAQ,300.0,400.0,350.0
Karnataka,Chikmagalur,Bagepalli,Drumstick,Drumstick,FAQ,1400.0,1800.0,1600.0
Karnataka,Chikmagalur,Bagepalli,Green Chilli,Green Chilly,FAQ,4000.0,8000.0,6000.0
Karnataka,Chikmagalur,Bagepalli,Tomato,Tomato,FAQ,1600.0,2200.0,1900.0
Karnataka,Chikmagalur,Chikkamagalore,Beans,Beans (Whole),FAQ,4067.0,4267.0,4167.0
Karnataka,Chikmagalur,Chikkamagalore,Beetroot,Beetroot,FAQ,1488.0,1488.0,1488.0
Karnataka,Chikmagalur,Chikkamagalore,Carrot,Other,FAQ,2917.0,2917.0,2917.0
Karnataka,Chikmagalur,Chikkamagalore,Cauliflower,Local,FAQ,1111.0,1111.0,1111.0
